3# M_star   Nsats
1000.000000000001  13.987341772151895
1000.000000000001  10.527426160337551
1000.000000000001  6.983122362869199
10000  4.49367088607595
10000  10.400843881856538
10000  7.447257383966246
30033.914514445405  8.122362869198312
30033.914514445405  5.548523206751057
30033.914514445405  3.1012658227848107
39879.1844934909  2.7637130801687775
39879.1844934909  5.12658227848101
39879.1844934909  7.489451476793246
100000  5.632911392405063
100000  3.691983122362867
100000  1.708860759493671
999999.9999999979  2.468354430379744
999999.9999999979  1.3291139240506311
999999.9999999979  0.10548523206751526
